customer Details,Overall Ratings,summary,Likelihood,pros and cons 
"Verified Reviewer
Computer Software, 51-200 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: GetApp","3/5
Overall","It's incredibly smooth and easy to use for conference calls
Mar 30, 2018",10.0/10,"Pros: I've been using zoom for conference calls consistently for the past month and a half. It's reliable. That's all that matters to me when I'm used to one person not being able to get skype up and running and google hangouts doesn't seem to work. I'm really happy with screen sharing and easy layout allows me to run meetings efficiently and with a lot of visuals.
Cons: The free version just cuts you off without a proper countdown. It would be nice to know how much time I have remaining."
"Verified Reviewer
Education Management, 11-50 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","The best (paid) web conference tool (IMO)
Mar 30, 2018",NA,"Pros: I usually don't have issues connecting to meetings, unlike others which are known for being pretty wonky. It's seamless. My favorite part is that you can add a Zoom meeting button to your Google Calendar, and it'll automatically generate the login/call-in information before you send out the invite!
Cons: It opens up extra windows, and doesn't live inside your browser. You need to download the software, so that's an extra step."
"MARTHA L.
HR/ Payroll Manager
Health, Wellness and Fitness, 201-500 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","Zoom is great for webinars. We use this software often when we need employees to see a presentation
Apr 02, 2018",9.0/10,"Pros: You can record the video and share it later for employees to review later if they did not make the meeting.
Cons: It cuts out if wifi is not working right. It can be a little delayed at times, but that may be because of wifi too.
Overall: Zoom is awesome because you can record the webinar and share it later if someone was not able to make it to the meeting."
"Antonio A.
ITSM Specialist
11-50 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Best option for remote virtual sessions
Apr 02, 2018",10.0/10,"Pros: We use zoom rooms for many activities with a high level of satisfaction. Indeed it is one of the best options in the market. As pros I can mention:
.- Integration with Google Calendar to schedule meetings.

.- Very light application for remote session that can be used even with low bandwith internet connections

.- Audio features that enable the user to connect through the PC or Laptop and through phone call

.- Chat and sharing options

.- Can record the session locally or in the cloud.
Cons: As Cons, may be mention:

.- Dismiss the Control Panel when you are sharing your screen

.- Could be nice if over the screen that we are sharing have available control for pointer and market to enforce sections of the material shared

.- Some user refers problem to enable the audio plugins and need to use the phone call option.
Overall: As a consultant services provider, in our company we use Zoom as the first option to handle virtual session rooms for tasks that involve remote interactions with our customer or prospect, related to training, support, sales, demos and coaching activities. Most of the meetings with our customers are managed through this software rather than by phone calls, reducing cost of phones services."
"Trent C.
Support Lead
Philanthropy, 11-50 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","4/5
Overall","As a remote team, we use Zoom on a daily basis to stay in touch.
Apr 04, 2018",10.0/10,"Pros: Zoom makes it really easy for us to stay in touch with all of our remote teammates via video chat. The screen sharing and recording tools are also great, and we use them all the time to share information with our team.
Cons: As with any video chat platform, you'll have some connection issues from time to time., but Zoom has been the most reliable system we've used.
Overall: Great video chat tool for remote team communication"
"Cary F.
Technical Support Engineer
Computer Software, 1001-5000 employees
Used the software for: 1-2 years
Reviewer Source 
Source: GetApp","4/5
Overall","Zoom helps me a lot
Apr 04, 2018",9.0/10,"Pros: You can conduct high-quality conferences, web seminars, create conference rooms with enhanced interaction capabilities. It is possible to turn off the sound or video broadcast during communication. The program allows cross-platform messaging and files. Our company works remotely with employees and needs high-quality video communication.
Cons: We have been using Zoom for a long time. For a long cooperation with Zoom only once I couldn't connect with my employees. In the rest of Zoom did not let me down."
"Allyn B.
Prevention Educator
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","An excellent way to host online video classes
Apr 04, 2018",NA,"Pros: One of my favorite features with ZOOM is that it allows you to video record your class sessions and make them available for students who could not attend.
Cons: Sometimes the video and audio quality can be inconsistent. Other than that, it's a great software to use for online conferences and class sessions."
"Denise U.
Marketing Director
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","Great for worldwide companies!
Apr 04, 2018",NA,"Pros: What I like the most is that has a good audio and video quality. When you have remote employees, it helps you stay close to them.
Cons: I haven't experienced any inconveniences while using this tool so I don't have anything bad to say about it."
"Cris R.
Project Manager
Graphic Design, 51-200 employees
Used the software for: 1-2 years
Reviewer Source 
Source: GetApp","5/5
Overall","Zoom has changed the way we do business
Apr 04, 2018",10.0/10,"Pros: Great service and solution for business meetings, presentations or online conferences. Also, Zoom is an excellent tool for hosting audio or video conferences. It is great because you can have a dedicated meeting ID to share with people, it's very easy to launch the conference off desktop or mobile, and it offers to record it easily. It's well suited if you're on a call with more than a single person. Also, it will be suited especially if you're worried about Internet connectivity on either side, because the quality of video and audio communication is always on top, even if the Internet speed is very poor.
Cons: Zoom's price point is higher than other video conferencing tools. There is a free version as well, but of course, it has a limited amount of capabilities, it has limits in terms of the number of participants. The calendar setup is not great as it doesn't directly connect to my Google Calendar, or I just could not do it."
"Colleen G.
Company owner
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","3/5
Overall","Good product not flashy but it works
Apr 04, 2018",NA,"Pros: I get zoom for free through school and use it constantly for webinars and meetings. It is convenient and I like the share screen feature.
Cons: I have and I know a few other people who have had problems with the sound only going one way, so I could heat them but they couldn't hear me. It is frustrating and seems to happen a lot."
"Clayton S.
Customer Success Manager
Computer Software, 11-50 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Probably one of the best!
Apr 05, 2018",NA,"Pros: I really like this software. I've used a lot of free video conferencing softwares, but even the freemium version is really good quality and very reliable.
Cons: The only qualm I have is pricing, but you get exactly what you pay for. I think if our company wasn't the size it is, I'd go with this option, hands down."
"Verified Reviewer
201-500 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","4/5
Overall","My company uses Zoom for conferences/meetings for hundreds of users all around the globe.
Apr 06, 2018",8.0/10,"Pros: Zoom simply works perfectly, video quality is very good, audio settings can be configured using multiple devices, multi platform!
Cons: There are not really cons, there is also a free version and in most cases is enough for all kinds of users."
"Ebona M.
CSM
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","4/5
Overall","Good Tool, but some tech updates would be great.
Apr 06, 2018",8.0/10,"Pros: This tool has to be downloaded for a client to use, but once you have it you can easily share screens, do international video conferences without static, and chat.
Cons: Whenever I run into an issue, like Zoom support states it was something I did or my internet, which IDK, maybe the case."
"Ellen R.
Web Software Developer
Information Technology and Services, 10,001+ employees
Used the software for: 1-2 years
Reviewer Source 
Source: GetApp","5/5
Overall","One of the best tools for web conferencing
Apr 08, 2018",9.0/10,"Pros: The quality of communication, it is always on top. Therefore, it is very simple to register and initialize. Also one-click screen sharing. I also like the ""raise hand"" function. Excellent, intuitive service with many functions.
Cons: I had problems connecting to my conference, but these cases were once and did not happen again. Zoom is really a quality product and it does not have any special cons."
"Megan S.
Academic Director
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","So useful and great quality!
Apr 09, 2018",NA,"Pros: I really like Zoom because it is a great video conference tool. The quality has always been great and ease of use is top notch.
Cons: The only con I have is the learning curve with users, sometimes there are some issues with the links and hosts being unavailable, but besides that, it's always been a great tool."
"Harry K.
Product Manager
Computer Software, 51-200 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","Decent Video Conferencing Software with Above Average UX
Apr 09, 2018",NA,"Pros: Zoom has a no-frills approach to video conferencing, but its functionality set is still comparable with the likes of GoToMeeting, Blue Jeans, and other popular offerings. The great thing about it, though, is that the niceties are tucked away behind a pretty intuitive and manageable UI, which makes for a pleasant user experience. I really enjoy how easy and quick it is to pull recordings down from the cloud, and the application management interface is very straightforward. The Chrome plugin also makes adding Zoom meetings to Google Calendar invites effortless.
Cons: Sometimes, and often without rhyme or reason, the Mac OSX app will just stop working and will need to be Force Quit and reopened. It's not a huge deal, but because it fails silently, it's one of those things you only really notice when you're trying to actually use the software. It's not a big deal, but it's not pleasant either."
"BC M.
Employee
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Zoom Video Conferencing review
Apr 10, 2018",10.0/10,"Pros: This software is very clear, simple, and easy to use. It is also free which makes it fairly simple to run meetings virtually.
Cons: The only con is that you are only allotted a certain amount of time per call unless you pay for the premium. Which this isn't much of an issue at all."
"Chris L.
Solution Architect
Computer Software, 10,001+ employees
Used the software for: 1-2 years
Reviewer Source 
Source: GetApp","5/5
Overall","Best online conferencing tool available
Apr 10, 2018",10.0/10,"Pros: Zoom works flawlessly in all scenarios's, across devices and platforms, with bulletproof performance.
Cons: i would prefer a pay-as-you-go pricing model for the premium tier, as that would suit my usage pattern"
"Christian L.
Copywriter & Marketing Strategist
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","I really like this app! Great alternative to skype.
Apr 11, 2018",NA,"Pros: I like that it's more professional than skype. You don't need to send a ""username,"" you can really just send a phone number, and it's FREE!
Cons: I don't like how sometimes it's difficult to use. Skype is super easy to use, this isn't. However, this is more professional."
"Joanna T.
Casino Manager
Gambling & Casinos, 201-500 employees
Used the software for: 6-12 months
Reviewer Source 
Source: GetApp","5/5
Overall","More stable than competitors
Apr 12, 2018",9.0/10,"Pros: A great application, it works without failures. Convenient mobile desktop version, even there is a driver mode. Often you have to use to communicate with colleagues or customers and with help of Zoom, it is no complaints, only thanks to the developers. The program really is a ray among competitors, I advise everyone, you can use the free version it has nothing worse than a paid one, only a limited time for a video call. Zoom helps our team to conduct quality meetings with remote departments.
Cons: The only thing that is really necessary is the ability to record conferences and calls from the smartphone and tablet, at the moment, it is possible only from the computer, which sometimes leads."
"Jovana S.
Community Manager
11-50 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Amazing for remote work
Apr 13, 2018",9.0/10,"Pros: It's really intuitive and the free option offers just enough if you're an average user. I used to use Skype, but it was too buggy and I'm glad I switched to Zoom. Stable interface, video calls and screen sharing is what I like the most.
Cons: Everything's OK. If I were really picky, I'd love it if the interface could be prettier, but so far I'm really satisfied.
Overall: I can stay in the loop with my colleagues easily, since I work remotely."
"Verified Reviewer
Information Technology and Services, 11-50 employees
Used the software for: 6-12 months
Reviewer Source 
Source: GetApp","5/5
Overall","best tool for delivering great demos
Apr 17, 2018",10.0/10,"Pros: We've tried many web conferencing platform and are finding zoom the best to deliver a great demo to customers. it just works. Audio quality is perfect and most importantly showing videos is fluid. recording is a breeze as well Highly recommend!
Cons: At this stage I don't have any missing features. when used in a support use case, taking control over the remote computer could be improved as the feature is not easy to discover"
"Verified Reviewer
Computer Software, 201-500 employees
Used the software for: 6-12 months
Reviewer Source 
Source: GetApp","4/5
Overall","Solid webcasting system
Apr 17, 2018",7.0/10,"Pros: It's great that there's the flexibility to use Zoom as a 1v1 meeting tool, or as a platform for webinars.
Cons: From a 1v1 meeting perspective, I personally prefer Google Hangouts. It's possible I'm just more used to Google Hangouts and don't like change!"
"Verified Reviewer
Computer Software, 51-200 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","3/5
Overall","It works but has some flaws
Apr 18, 2018",6.0/10,"Pros: - Easy to use and with good features for screen sharing.

- Good set of settings to allow customization.
Cons: - I have had difficulties establishing video calls with zoom more than once. The app was diagnosing connectivity issues, while Skype was working flawlessly.
Overall: It works but I don't think it is the best tool for the job"
"Verified Reviewer
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","A great HIPPA Compliant software to use
Apr 18, 2018",NA,"Pros: Zoom is a a great HIPPA Compliant software to use with my clients for video conferencing calls. Its simple to set up.
Cons: Customer service can take some time to get back to you. When it doesn't work it can be very frustrating to explain to customers."
"Verified Reviewer
Events Services
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Great for groups
Apr 18, 2018",NA,"Pros: Zoom is great for group discussions or as a way for a large group of people to hop and and listen to a remote speaker. It is also nice that it allows for call and video in and can be used on a mobile device as well as computer.
Cons: For one on ones or smaller groups google hangout, facetime and skype are all easier to use and are little to no cost."
"Verified Reviewer
51-200 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","awesome tool
Apr 19, 2018",8.0/10,"Pros: - easy to use

- webinar feature is great for live Q&As

- hosts many attendees and registration customization

- video conferencing has almost NO lag

- attendees can draw on the ""screen""

- recurring events can be scheduled
Cons: - registration customization does not save for future events

- limited cloud space for recordings (unless you pay more)

- when creating a meeting, it asks for permission every time, to create an event on my calendar -- annoying (I have to 'allow' each time)
Overall: seamless video conferencing"
"Alex R.
Partner + Creative Director
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","4/5
Overall","My review is for conferencing, not webinars
Apr 19, 2018",NA,"Pros: The user interface is great, it has lots of features that just work. We use it a lot for screen sharing, and it's great being able to share a specific window or your entire screen.
Cons: It can be challenging for some people to get their audio and video set up correctly when first starting a conference. We've had several conferences where the client can't figure it out so we are stuck doing a 1-way call."
"Frank H.
Actuary
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","4/5
Overall","Good video conferencing for professionals but difficult to use
Apr 19, 2018",3.0/10,"Pros: Whereas Skype is ubiquitous in casual video conferencing, it's not the best use for professional environments. In this sense, Zoom is a great alternative and gives you plenty of options in just meeting to discuss with colleagues, running presentations, and even recording them for later use.
Cons: Getting people into the meeting was difficult for some users, and the lag was significant when on a slower connection - even moreso than if using Skype or Google Hangouts. Recording was also not intuitive.
Overall: Convenient professional alternative but did not function properly during my usage."
"Verified Reviewer
Computer Software, 201-500 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: GetApp","5/5
Overall","Better choice than GoToMeeting
Apr 19, 2018",10.0/10,"Pros: Having used GoToWebinar and GoToMeeting for multiple years, I didn't think there was another tool out there that could compete. I was wrong. Zoom is great in all regards. More customization, great performance, slick interface, and has all the features at a much better price point.
Cons: There is a slight learning curve if you're coming from something different, but take an hour or two and you'll figure out the basics and can get up and running."
"Verified Reviewer
Computer Software, 201-500 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: GetApp","5/5
Overall","Zoom is the best
Apr 19, 2018",10.0/10,"Pros: We just recently moved over from GoToWebinar to Zoom Webinars, the differences is huge! Zoom webinar has great quality, the UI is so much more functional and is less of a cost than the competitors.
Cons: Zoom has more features that we have found over GoToWebinar and we had to make some tweaks during presentation that were scary. Would be nice if there was some clear documentation on what changes would stop presentation or not."
"Verified Reviewer
Computer Software, 11-50 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Great video conferencing & webinar app
Apr 19, 2018",10.0/10,"Pros: Easy to use, fast setup, great video, clear audio, and fantastic customer support. One of my favorite apps.
Cons: Scalability. I have to manage two databases of users. There should be a way to sync users and teams with what's on Google or Salesforce.
Overall: Improved video conferences to close more deals and host better webinars."
"Verified Reviewer
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Love the ease of use of this software to set up meetings with clients and support personnel
Apr 20, 2018",10.0/10,"Pros: The software is easy to set up and use. It is also easy for the recipient to use; just email them a link and you are golden. The ability to record meetings or webinars for future reference is great.
Cons: This is my meeting software of choice. I have never had to use the support features so I do not know much about them but I have very few faults for this software.
Overall: One on one meetings with webinar functionality."
"Sarah W.
Admin
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","Video communication made easy
Apr 20, 2018",NA,"Pros: This software is so easy to use to help connect our team and keeping communication open and clear regardless of where we are.
Cons: We would like more options for additional third-party integrations, which would help expand the productivity of our meetings."
"Christine A.
Creative Lead, Marketing
51-200 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","4/5
Overall","Zoom Conferencing Makes Meetings Easy
Apr 21, 2018",8.0/10,"Pros: - Easy to pick up and use

- Like the ability to allow people to enter your room when you are ready

- Like that you dont need to go through any prompts when starting the calls
Cons: - Will really run your laptop battery dry if you aren't charging, so be careful

- I wish you could easily hide the bar that appears when your sharing your screen. It will do it automatically sometimes, but hard to tell when"
"Dany H.
Pastor
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","3/5
Overall","It's okay but we've moved on.
Apr 22, 2018",NA,"Pros: You know it's video conferencing software what more can you say. It works and it does what it's supposed to do.
Cons: We've moved on from Zoom for a variety of reasons. It's not bad, but we found another product that works better for our needs."
"Verified Reviewer
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Best option for group video conference
Apr 23, 2018",NA,"Pros: - It has a great connection, not laggy at all better than all the other ones.

- I like the zoom Rooms so much.
Cons: - When you invite other people to view a webinar they are asked to download an app which is a bad thing."
"Verified Reviewer
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","Webinar hosting made simple
Apr 23, 2018",NA,"Pros: Zoom video webinar software is a great option for those looking to host online. Zoom offers high quality sound and video which makes carrying out these sessions seamless. The sessions are easily recorded and participants can join in on the conversation. Zoom can manage The attendees
Cons: One thing, I can say, is that there are a lot of other options in the marketplace for persons to choose from."
"Halley H.
Used the software for: 6-12 months
Reviewer Source 
Source: GetApp","5/5
Overall","Choose the best service for your important conference
Apr 23, 2018",9.0/10,"Pros: I like the most here that fact that even with bad internet connection because of problems with the provider(or something like this) this system still preserve quite normal quality and everyone can understand what are you talking about. We are using this tool for our company meetings and conferences because our company has offices in different countries and even separate continents, and that is understandable that sometimes we need to have meetings with each other and Zoom is the best choice for us for such deeds.
Cons: Talking about minuses of this tool I can say that we were not very happy with the interface. It seems just like a program for conversation but I cannot say that everything was obvious from the very beginning. Now it is fine and we are satisfied but it took some time to get used to this."
"Grant S.
CEO
Computer Software, 1-10 employees
Used the software for: 6-12 months
Reviewer Source 
Source: GetApp","5/5
Overall","Great for Working with non-Tech Savvy Users
Apr 24, 2018",10.0/10,"Pros: I have never had a problem with people being able to access a video conference with Zoom. I prefer Google Hangouts, but Hangouts confuses people that aren't familiar with the system. This is not the case for Zoom.
Cons: I prefer Hangouts because I can control the bandwidth usage, and this is great if either party is having an issue with their connection. I can manually control the quality of the data stream."
"Verified Reviewer
Used the software for: 6-12 months
Reviewer Source 
Source: GetApp","5/5
Overall","Excellent and cost-effective solution for my business communication
Apr 24, 2018",10.0/10,"Pros: Zoom offers a very easy to use communication, with great performance in low internet bandwidth. With addon features such as Webinar Addon, I can cover almost every use case I can imagine in my business, at a very convenient pricing
Cons: Sometimes the client software shows some minor bugs, specially on Linux. iPhone, Windows, and Mac OS X clients work (almost) perfectly fine"
"Vanda W.
Support Manager
Information Technology and Services, 11-50 employees
Used the software for: 1-2 years
Reviewer Source 
Source: GetApp","5/5
Overall","Really good software
Apr 27, 2018",10.0/10,"Pros: Optimum quality of video and audio connection. The probability of integration with numerous services and with all sorts of calendars convenient for you. The interface is excellent and comfortable. A comfortable mobile application, I do not often apply it, however, in case I need it, it's not worth the desktop version. We can make a plan of meeting with external personalities, and we can show support using the means of general screen use. We have the best method of developing our communication. Possessing many functions of an online conference, we carry out our work more swiftly and productively.
Cons: I have no complaints about this software. It's easy and convenient for me to work with Zoom. Besides that, I know that my team works without difficulty, and they never complained to me about this permission."
"Abdul-Mumeen O.
Software Developer
Information Technology and Services, 501-1000 employees
Used the software for: 6-12 months
Reviewer Source 
Source: GetApp","4/5
Overall","The best video conferencing tool I know!
Apr 28, 2018",9.0/10,"Pros: It helps solve my team and I's problem of guessing who's network is bad during calls. It easily tell you when your network is crappy! It also allows voice recording of everyone on the call.
Cons: Feedback survey at the end of every call can be very annoying. I think that should be reviewed. Also, I should be able to select call members I want to see on my screen."
"Ankurman S.
Developer Advocate
Computer Software, 51-200 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Great, sticky product
Apr 30, 2018",10.0/10,"Pros: I've used WebEx (don't know why but I did :D) and then our usual Google Hangout.
Some companies (mostly Fortune 1000) have security protocols that don't allow them to use hangouts. So I kickstarted a trial user account for Zoom.
Love the -

1. UI and UX: Smooth, intutive and easy to use i.e schedule and start meetings.

2. Extensive list of conference dial in numbers from all over the world.

3. Recording feature is helpful!

4. Affordable (beginners plan per month does the job for me)

5. Company is growing fast so the product is here to stay and get better
Cons: They probably get a lot of inbound requests. I've felt ignored due to not being a big deal size for them as I'm still trying to get in touch with an Account Manager to figure out -
How to start the zoom meeting from my laptop and dial the meeting conference line through Zen Prospect to eliminate feedback noise.
Overall: Schedule and start meetings with ease. Helps gaining productivity."
"Kasey B.
Adjunct Professor of Political Science
Higher Education, 501-1000 employees
Reviewer Source 
Source: Capterra","5/5
Overall","Great software with crisp video quality.
Apr 30, 2018",9.0/10,"Pros: I used this a while back for a meeting I attended. What stood out to me the most was the outstanding video quality and lack of dropped frame rate of this software. Sure I had great internet running at the time on LTE+ with Verizon, but I expected some video issues as I was using the application on my phone. Very little lag time, I wished more companies used this software, and it was very intuitive compared to some of the other free options
Cons: I only used this software once and never had to pay for it, but the price tag for it is a little high. However, if great quality video is what you are going for, then this is the right software for you!"
"Juan F.
Especialista de Sistemas SharePoint
1001-5000 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","I use the tool daily for all meetings with work partners
Apr 30, 2018",10.0/10,"Pros: the tool is very simple to use, you can share your desktop, you can invite other people who do not have the tool, you can record both in the cloud and in the local machine, you can give the remote control to another person in the meeting so that check something on your machine if necessary, we have connected up to 30 people geographically distributed in different places and the quality of the videoconferences are excellent, the video looks very good
Cons: We use a couple of accounts throughout the company to hold meetings. the only detail I found is that if I schedule the meeting as a technology staff we keep track of the account to better organize the meetings of all, if I, as the account's principal, do not agree and I give control to a person within the meeting, they will not be able to record, because it requires that the person with the host is the one who has the permissions for it. in that aspect they depend on one as the staff that manages the account, the key is not given to everyone so that there may be some organization
Overall: we managed to make videoconferences with a high quality both in the audio and in the video with a minimum bandwidth, we must take into account that everyone in the company we are geographically dispersed we are not all together in the same area"
"Jodie G.
Partner
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","4/5
Overall","Super easy and high quality
May 01, 2018",NA,"Pros: It feels like I am with the people; the ease of all the functionality from phone or lap top. The consistency of the experience - it's so good I got my global FMCG client to abandon webex and sign up to zoom!
Cons: Freezing sometimes but that is probably more about the internet connection and sometimes it does not keep me logged in but overall it is very consistently excellevt"
"Jose A G.
Sales Representative
11-50 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Best Cloud VideoConference in any platform
May 02, 2018",10.0/10,"Pros: Easy to use
Works Great in iPhone
Share Screen at its best
Cloud Meeting Recording
inApp features like chat, polls, and controls while being host are great too
Cons: Sometimes activates webcam depending on the invite settings
sometimes people needs to connect via dial in phone because it does not get Computer Audio settings (not usual)
it can freeze sometimes
free version up to 45 minutes sessions
Overall: virtual conferencing needs with prospects to show value and Look&Feel of apps, services and solutions being offered. Support to our existing customer while needing remote support. Availability check on multiples conferences needed at a time. we use two paid accounts for sales and support and individual free accounts for general purposes"
"Phil P.
Managing Director
Marketing and Advertising, 1-10 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Zoom is a great web conference platform that makes it really easy on the end user
May 04, 2018",9.0/10,"Pros: Zoom has the best features and you always have a clear call and HD video. They have great analytics as well on usage. The price point is very competitive.
Cons: Having to buy a certain amount of seats for the business product is a bit costly, but that really isn't a big complaint.
Overall: Zoom helped us conduct better internal calls with our team, and most importantly, better external calls with our prospects and clients. Zoom helps us win more business and is competitively priced."
"Verified Reviewer
Computer Software, 201-500 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Very easy to use
May 04, 2018",9.0/10,"Pros: Ease of use is #1 for me! I also like the option to see all of my meeting participants easily in the grid view. This makes it really easy to collaborate with remote coworkers. Video and audio are high-quality.
Cons: I haven't had any cons with using Zoom yet! Most of the issues I run into is around others' internet connections when using video."
"Danica N.
Head Of Media Relations
11-50 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","Super useful for video conferences and keeping in touch with your team.
May 04, 2018",NA,"Pros: It's quite easy to use and get used to. It works really well even if the connection isn't stable, unlike Skype which can be extremely buggy in this case. If you are an average user the free version offers enough options (screen sharing, recording, etc.). My team uses it on a regular basis especially because few of my teammates work remotely.
Cons: The interface seems a bit outdated but that doesn't affect the decision to use it because everything works quite well."
"James G.
Lead Developer
Computer Software
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Works as expected, a little clunky
May 04, 2018",8.0/10,"Pros: I get zoom links from clients a lot and it does work very well. After installing I can talk with them, screenshare, and do pretty much anything that other video conferencing apps do.
Cons: I wish it was online only as the process joining a chat is mixed between using the website and also using the computer app.
Overall: Business video conferencing."
"Jeff G.
Director Of Business Development
Information Technology and Services, 11-50 employees
Used the software for: 2+ years
Reviewer Source 
Source: GetApp","5/5
Overall","So much easier than gotomeeting!
May 04, 2018",9.0/10,"Pros: The video quality and usability are the best I've seen in the conferencing space. It may lack some of the detailed features seen in more advanced tools, but for the majority of use cases I can think of, it's the best. The integration with google calendar is really great and easy too!
Cons: I've had a bit of trouble with the instant meetings using my personal meeting url... it could be user error, but I've had multiple instances where it doesn't work as expected, and I end up with a different meeting url than provided to those I'm communicating with. I think revisiting this experience and the quick launch of these meetings could really improve the tool!"
"Verified Reviewer
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Easy to use software for calls with clients
May 04, 2018",NA,"Pros: Simple and easy to use. Paid upgrade integrates with my scheduling software and automatically creates call details for each booked meeting.
Cons: Calls on the free version are time restricted, as is the ability to integrate with other software, but if you need it, the paid option is there."
"Daniel B.
Graduate Assistant
Higher Education, 1001-5000 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Used to record a weekly podcast, this software provides exceptional audio quality and great service.
May 04, 2018",10.0/10,"Pros: Audio and video conferencing are a breeze. Connectivity is simple. In fact, as long as the host has an account and the software, no other participant needs to register for anything. They can join either by following a link on a computer, or calling in via a generated telephone number. The free version of the software allows unlimited conferencing with two participants. The quality is definitely superior to its competitors.
Cons: On a free account, group conference calls are limited in terms of the time allowed to record, so if you're not a paid subscriber, this is something to be mindful of.
Overall: High quality call recording."
"Stephen C.
Systems Analyst
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","Best video conferencing tool available. Only one we know of with international calling options.
May 04, 2018",10.0/10,"Pros: Easy to use interface. Easy to install plugin and attendee app. Easy to understand and use scheduling and management app. Best video and call quality we've seen. Ability to send audio and video over the stream. International numbers for remote attendees to join audio.
Cons: The stream-audio-while-sharing feature exists but it isn't very good yet as audio and video lag and are jumpy. Needing the host to start the meeting is unnecessary. When using multiple monitors, there are not easy options for making the remote attendees the largest picture.
Overall: Best video conferencing tool available."
"Justin H.
CFO
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Fantastic, this collaboration tool is all a small business needs to keep growing.
May 04, 2018",NA,"Pros: It's easy, understandable and most of all, cheap for the service it provides. It allows our remote workforce to feel part of the team while the company churns ahead in its strategic direction. The ability to video chat endlessly through this software is invaluable.
Cons: I have yet to encounter a detail about this software that I like the least, but if there's anything at all, the length of the conference links can be a bit of an inconvenience at most."
"Joseph G.
Used the software for: 2+ years
Reviewer Source 
Source: GetApp","5/5
Overall","Most Intuitive Video Conferencing Software Available
May 04, 2018",10.0/10,"Pros: -Easy to learn and use -Easy to invite people to join -Easily Mute and/or Hide video -Share your screen -Chat on the side with one person or the whole group -See a list of all participants -Record video calls -Free for up to 40 minute calls
Cons: -40 minute limit to free calls -Not much I would add - sometimes less is more (although I certainly wouldn't characterize Zoom as lacking any functionality)"
